Task,ROC-AUC,PR-AUC,Sensitivity,Specificity,Accuracy,Model
NR-AR,0.7209145174006082,0.3369102611365539,0.4230769230769231,0.9121522693997072,0.8942172073342737,GCN
NR-AR-LBD,0.8195819581958196,0.4144278684237526,0.5555555555555556,0.9273927392739274,0.9166666666666666,GCN
NR-AhR,0.8494144812798945,0.5640613471387818,0.9148936170212766,0.563953488372093,0.6180327868852459,GCN
NR-Aromatase,0.7338046329642969,0.24598395026743197,0.5714285714285714,0.7516339869281046,0.734251968503937,GCN
NR-ER,0.6679553710430722,0.31817181593880733,0.6463414634146342,0.6063829787234043,0.6123188405797102,GCN
NR-ER-LBD,0.759691818515348,0.18574100202527824,0.6153846153846154,0.8426073131955485,0.833587786259542,GCN
NR-PPAR-gamma,0.7486774172987444,0.1579850859702155,0.2413793103448276,0.9500924214417745,0.9140350877192982,GCN
SR-ARE,0.72748617467582,0.42295549123498677,0.7280701754385965,0.5896739130434783,0.6224066390041494,GCN
SR-ATAD5,0.7821392091055013,0.1951492804963497,0.5757575757575758,0.8041733547351525,0.7926829268292683,GCN
SR-HSE,0.7453822537621421,0.21283503663371262,0.5405405405405406,0.8640595903165735,0.8432055749128919,GCN
SR-MMP,0.7984789984789985,0.45192132354424414,0.7904761904761904,0.687960687960688,0.708984375,GCN
SR-p53,0.7919747848224027,0.32958243994517045,0.726027397260274,0.7610619469026548,0.7570532915360502,GCN
NR-AR,0.7843788714945377,0.428550139221244,0.5,0.9399707174231332,0.923836389280677,GIN
NR-AR-LBD,0.8196736340300697,0.33280722607132207,0.5555555555555556,0.9422442244224423,0.9310897435897436,GIN
NR-AhR,0.865454395513772,0.5403722469486087,0.8723404255319149,0.6996124031007752,0.7262295081967213,GIN
NR-Aromatase,0.7136632430750077,0.30247440685632365,0.4489795918367347,0.8300653594771242,0.7933070866141733,GIN
NR-ER,0.7206538661131292,0.38497635929632307,0.6219512195121951,0.7489361702127659,0.730072463768116,GIN
NR-ER-LBD,0.7193958664546901,0.20618345999942306,0.34615384615384615,0.8473767885532592,0.8274809160305343,GIN
NR-PPAR-gamma,0.680859200713876,0.11661070844547562,0.27586206896551724,0.9038817005545287,0.8719298245614036,GIN
SR-ARE,0.7386298627002289,0.45860494495691007,0.7543859649122807,0.5407608695652174,0.5912863070539419,GIN
SR-ATAD5,0.7804854321708254,0.30526593180680545,0.696969696969697,0.7817014446227929,0.7774390243902439,GIN
SR-HSE,0.7638029090543057,0.2861212508591432,0.7027027027027027,0.770949720670391,0.7665505226480837,GIN
SR-MMP,0.7931905931905933,0.48897439800231424,0.7142857142857143,0.773955773955774,0.76171875,GIN
SR-p53,0.7485028488301613,0.3079622367530186,0.684931506849315,0.6973451327433628,0.6959247648902821,GIN
NR-AR,0.7397229417727222,0.38185519921958155,0.38461538461538464,0.9677891654465594,0.9464033850493653,MPNN
NR-AR-LBD,0.8566189952328566,0.47463361379918884,0.6111111111111112,0.9570957095709571,0.9471153846153846,MPNN
NR-AhR,0.85574385617681,0.524041450287054,0.9361702127659575,0.5968992248062015,0.6491803278688525,MPNN
NR-Aromatase,0.7155306567071273,0.23386397480358356,0.46938775510204084,0.8235294117647058,0.7893700787401575,MPNN
NR-ER,0.6855864037363778,0.3083166326596868,0.5853658536585366,0.6829787234042554,0.6684782608695652,MPNN
NR-ER-LBD,0.7374342668460316,0.19597227369708148,0.5,0.8823529411764706,0.867175572519084,MPNN
NR-PPAR-gamma,0.6756963477595768,0.13094246551863836,0.3448275862068966,0.911275415896488,0.8824561403508772,MPNN
SR-ARE,0.7290832379862701,0.44326809888000956,0.7456140350877193,0.6195652173913043,0.6493775933609959,MPNN
SR-ATAD5,0.7805827131669828,0.17042559345346736,0.6363636363636364,0.8009630818619583,0.7926829268292683,MPNN
SR-HSE,0.7541899441340782,0.23817437498220712,0.5675675675675675,0.8007448789571695,0.7857142857142857,MPNN
SR-MMP,0.7966771966771966,0.4637589315020386,0.780952380952381,0.7371007371007371,0.74609375,MPNN
SR-p53,0.7619590253364044,0.28360362412490825,0.6164383561643836,0.7345132743362832,0.7210031347962382,MPNN
NR-AR,0.7313323572474377,0.39038947828412907,0.2692307692307692,0.9970717423133236,0.9703808180535967,RF (Morgan FP)
NR-AR-LBD,0.8784378437843784,0.521718481653674,0.3333333333333333,0.9983498349834984,0.9791666666666666,RF (Morgan FP)
NR-AhR,0.8210353785254825,0.5055605262500696,0.06382978723404255,1.0,0.8557377049180328,RF (Morgan FP)
NR-Aromatase,0.7058378907118402,0.35325077512239184,0.02040816326530612,0.9978213507625272,0.9035433070866141,RF (Morgan FP)
NR-ER,0.6157498702646601,0.2913308783463849,0.07317073170731707,0.997872340425532,0.8605072463768116,RF (Morgan FP)
NR-ER-LBD,0.7629326158737922,0.36903961339712865,0.15384615384615385,1.0,0.966412213740458,RF (Morgan FP)
NR-PPAR-gamma,0.7138122251258843,0.1908245444810727,0.0,1.0,0.9491228070175438,RF (Morgan FP)
SR-ARE,0.6841032608695652,0.4142110789282094,0.0,1.0,0.7634854771784232,RF (Morgan FP)
SR-ATAD5,0.7462425215234204,0.1969651980092266,0.0,1.0,0.9496951219512195,RF (Morgan FP)
SR-HSE,0.648749307967185,0.17911678553228866,0.0,1.0,0.9355400696864111,RF (Morgan FP)
SR-MMP,0.7699075699075699,0.49359460237851727,0.01904761904761905,1.0,0.798828125,RF (Morgan FP)
SR-p53,0.7052006303794397,0.2902440605488148,0.0136986301369863,1.0,0.8871473354231975,RF (Morgan FP)
